*	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	
D5	65	161	436	269	227	235	238	210	161	151	122	105	90	69	59	45	36	25	16	15	13	14	13	15	14	17	17	18	21	25	27	26	25	30	32	32	32	33	32	29	31	28	26	26	24	23	21	20	19	16	15	15	14	15	11	8	10	6	6	5	5	5	3	5	2	4	2	2	2	2	2	2	0	0	0	0	0	0	0	-3	-3	-3	-3	-3	-3	0	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
D6	87	163	482	330	275	269	245	235	202	184	159	129	105	87	75	51	43	32	21	18	17	14	15	15	14	17	17	18	21	22	24	27	27	29	32	31	34	34	33	33	30	30	29	26	24	22	22	19	19	17	15	14	17	14	12	10	10	7	6	6	5	5	3	3	4	2	2	2	2	2	0	0	0	0	0	0	0	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-4	-4	-4	-4	-4	
D7	66	163	415	298	273	281	253	253	207	182	153	132	109	85	69	54	37	28	23	19	15	14	14	12	13	12	11	12	12	13	15	16	15	16	16	17	16	18	16	16	16	15	15	14	12	12	11	10	9	7	9	8	11	9	6	6	4	4	4	3	2	3	2	2	2	2	0	0	0	0	0	0	0	0	-3	-3	-3	0	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
D8	427	681	1068	953	883	898	864	750	629	542	424	346	285	216	177	118	85	56	44	32	26	24	19	16	14	14	14	14	10	11	13	11	11	11	12	11	10	10	9	10	9	8	8	7	7	6	7	5	6	5	5	5	7	7	3	3	4	3	1	2	2	2	0	0	0	0	0	0	0	0	0	-2	-2	0	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	0	
D9	84	218	479	407	358	380	365	346	311	260	228	195	153	123	104	75	53	35	31	23	19	17	15	13	13	9	11	11	7	9	7	7	8	8	7	8	7	8	7	7	6	6	7	6	6	5	4	5	4	4	3	3	7	5	1	1	0	1	1	2	2	2	0	2	0	0	0	0	0	0	0	-2	-2	0	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
D10	86	200	500	340	332	347	342	309	283	250	203	173	147	113	99	70	48	38	30	23	19	17	16	13	13	11	11	9	9	7	7	8	7	7	8	7	6	6	7	6	6	5	5	3	5	5	4	4	4	4	4	3	5	5	1	1	1	2	2	2	0	2	0	0	0	0	0	0	0	0	-2	0	-2	0	-3	-3	0	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
D11	85	181	499	331	316	343	332	322	276	237	207	174	146	110	88	64	48	38	27	21	20	15	14	11	13	9	9	9	9	7	7	7	7	7	7	7	6	6	6	4	6	5	5	3	4	5	4	4	4	4	3	3	8	4	3	3	1	1	1	1	0	0	0	0	0	0	0	-2	0	-2	0	-2	0	0	-3	-3	0	-3	-3	0	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-7	-4	-4	-4	
D12	66	198	477	345	320	326	315	287	246	223	194	153	135	106	88	60	48	34	23	21	17	15	14	13	10	9	9	8	8	9	7	7	7	5	7	6	8	7	6	6	6	5	3	4	5	3	5	4	2	4	4	3	7	4	3	3	1	1	1	0	2	0	0	0	2	0	0	0	-2	0	0	-2	0	-2	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	0	-4	
E1	22	94	318	193	132	143	111	97	86	65	47	43	35	23	20	24	22	20	24	27	36	41	53	61	75	93	107	118	138	151	154	157	156	163	179	174	174	179	171	169	161	151	141	136	131	121	113	105	92	87	79	78	74	61	58	51	50	43	40	36	34	31	27	26	22	18	19	18	16	14	13	11	7	10	7	10	5	6	6	3	3	3	3	0	0	0	3	0	0	0	0	0	0	0	0	-3	0	0	-4	-4	0	
E2	22	111	347	203	145	137	132	91	79	64	42	38	26	23	24	21	20	18	19	23	27	32	39	45	55	61	72	77	91	96	102	102	99	107	110	115	111	113	114	103	102	97	93	89	82	81	73	70	62	58	52	51	48	45	40	33	32	29	27	24	21	19	19	18	18	13	11	10	10	8	9	7	5	5	5	3	3	3	3	0	0	0	0	0	3	-3	0	0	0	0	-3	0	-3	-3	0	0	-3	-4	0	0	-4	
